Name,Math_Grade7,Math_Grade8,Math_Grade9,English_Grade7,English_Grade8,English_Grade9,Kiswahili_Grade7,Kiswahili_Grade8,Kiswahili_Grade9,Integrated_Grade7,Integrated_Grade8,Integrated_Grade9,Agriculture_Grade7,Agriculture_Grade8,Agriculture_Grade9,Social_Grade7,Social_Grade8,Social_Grade9,CRE_Grade7,CRE_Grade8,CRE_Grade9,Creative_Arts_and_Sports_Grade7,Creative_Arts_and_Sports_Grade8,Creative_Arts_and_Sports_Grade9,Pretechnical_Grade7,Pretechnical_Grade8,Pretechnical_Grade9,Actual Pathway
chebet,67,30,30,65,54,16,57,33,93,58,90,74,80,53,24,81,28,38,13,53,81,48,76,85,13,29,22,Social Science
kirui,35,82,37,23,59,41,68,79,70,20,58,37,77,42,47,40,13,93,35,56,35,57,37,10,92,87,26,Social Science
patience,77,51,32,94,38,33,26,74,37,91,58,74,17,70,67,78,26,90,44,82,32,23,60,13,51,95,85,Social Science
nasimiyu,73,26,10,57,58,85,43,65,45,47,94,79,69,23,78,36,94,79,24,52,61,69,33,17,35,19,32,STEM
juma,10,73,75,17,57,77,84,61,75,32,39,51,48,25,91,34,93,56,11,69,58,42,51,82,92,63,91,Arts and Sports
magdalene,31,37,88,71,52,34,38,38,55,53,14,33,62,88,62,68,38,12,26,95,42,86,58,70,59,81,44,STEM
cherop,57,53,90,10,27,30,26,15,60,94,54,72,61,56,17,43,90,46,37,54,13,38,52,31,86,38,77,STEM
situma,10,46,20,50,56,44,15,21,94,19,87,17,47,24,54,22,47,42,47,16,54,22,37,93,79,40,18,Social Science
abigael ,95,60,60,57,68,14,41,12,69,76,95,64,79,53,90,37,35,78,65,69,77,15,54,49,83,88,63,Arts and Sports
cherotich,37,17,89,68,54,73,20,60,13,76,64,91,65,77,24,50,76,12,69,60,62,29,72,66,85,67,59,Social Science
situma,93,30,79,31,91,46,91,69,60,43,65,75,82,94,84,84,44,24,78,60,92,42,13,47,22,50,72,STEM
abigael,11,95,32,91,11,18,30,92,72,32,68,91,44,86,82,78,37,85,57,15,18,24,21,58,55,85,30,Social Science
celestine,54,21,74,74,45,20,29,64,46,93,88,27,15,93,72,30,65,41,41,16,18,81,63,23,75,83,82,Social Science
nambuya,57,11,24,60,32,47,55,62,93,60,66,34,43,47,90,80,40,81,88,13,19,78,58,75,78,14,84,Social Science
shanel,90,86,24,83,12,76,35,57,55,95,81,17,21,55,23,53,45,85,33,26,84,94,66,23,85,15,42,STEM
chakaranda,39,64,67,85,57,56,63,28,13,25,56,57,58,10,36,23,90,87,18,59,11,59,53,34,88,33,43,Social Science
angelin,82,59,46,21,56,49,18,79,88,77,73,11,44,85,27,57,62,33,27,31,81,75,44,31,35,62,55,STEM
tamnai,36,40,90,62,91,23,48,91,71,18,57,40,85,26,68,28,59,14,41,23,82,92,46,73,24,66,37,Social Science
scovia,22,90,71,14,24,30,80,88,67,55,17,46,48,82,19,63,73,73,88,35,46,56,63,14,35,60,47,Social Science
temko,41,50,48,32,12,67,94,41,87,69,28,93,31,39,71,13,56,16,58,80,82,73,46,28,24,71,32,STEM
mechelle,62,78,39,41,46,44,35,75,37,19,19,13,79,37,77,35,90,92,78,66,37,19,82,78,48,37,74,Arts and Sports
chelimo,53,45,90,92,65,35,57,60,41,19,67,34,16,91,30,79,12,36,64,72,68,87,15,95,85,75,52,STEM
noel,10,36,39,29,85,31,48,74,76,34,55,43,82,39,90,16,80,39,20,16,89,93,56,27,37,42,16,STEM
chepteek,43,93,27,93,62,37,64,20,28,21,40,35,52,67,82,25,70,76,20,55,93,36,20,12,72,25,58,STEM
morei,45,35,76,77,87,16,48,61,22,15,12,34,86,59,65,47,18,13,95,93,40,90,18,49,39,61,95,Social Science
jane,87,92,37,35,11,69,45,11,34,51,45,12,16,63,22,38,93,60,15,36,25,20,82,71,72,94,37,STEM
chebet,61,54,45,23,92,15,73,21,28,20,36,51,77,68,14,91,49,12,66,23,76,30,36,19,79,37,82,STEM
diana,56,10,32,57,32,64,16,78,50,88,61,17,75,62,42,46,27,49,20,30,63,34,40,60,16,78,47,Social Science
naliaka,27,25,68,30,68,40,31,62,62,73,31,55,77,61,87,83,84,56,56,27,49,35,79,77,17,35,95,Arts and Sports
wekesa,23,44,91,42,25,47,79,32,65,80,69,59,69,90,33,81,85,92,12,35,45,95,79,57,19,68,85,STEM
nicole,15,47,85,42,45,80,13,91,49,80,87,52,11,82,51,60,61,82,59,75,46,77,38,28,37,69,39,Social Science
chepkwemoi,84,56,60,22,11,57,17,38,93,93,71,14,87,31,89,16,15,12,26,19,58,30,72,43,61,40,50,STEM
faith,32,89,44,17,69,35,63,48,47,66,32,39,49,51,81,78,29,75,11,59,64,25,89,84,44,19,84,STEM
chesiro,82,44,68,29,32,38,95,68,47,17,71,87,54,63,39,52,74,37,81,56,73,93,52,18,22,11,93,STEM
kinyokie,47,45,19,94,55,68,53,68,49,84,86,17,67,71,63,73,85,63,23,59,24,37,42,51,61,24,35,Social Science
becky,59,49,25,43,20,31,71,69,71,93,29,76,69,87,76,69,87,56,11,33,60,44,54,88,72,41,82,Social Science
cheruto,33,21,64,25,63,78,17,13,75,15,20,35,86,77,87,79,45,45,64,13,78,27,70,16,48,69,61,Social Science
vennesa,13,12,56,95,31,69,76,90,45,55,50,26,41,38,42,62,61,87,50,84,62,56,68,10,36,23,31,STEM
shalom,60,74,47,81,27,10,94,30,39,15,81,46,94,57,72,23,26,78,10,42,50,15,10,48,81,44,16,Social Science
treza,29,40,70,76,29,27,87,30,72,21,57,80,44,34,43,47,18,88,36,67,61,86,46,65,71,79,69,STEM
adeu,36,29,12,34,21,39,11,41,94,75,51,12,13,65,94,78,20,10,53,94,12,23,72,81,87,12,95,Social Science
otudo,84,89,64,78,35,53,76,35,58,90,14,87,40,89,68,33,17,83,92,91,53,67,35,12,18,74,17,STEM
vellah,93,29,83,70,90,17,81,92,58,19,67,71,88,25,48,33,51,20,84,83,43,22,76,54,10,51,49,Social Science
chebet,48,18,57,62,34,14,78,92,29,27,38,83,50,74,60,89,88,54,64,46,92,64,44,83,15,40,60,STEM
fasilah,68,28,82,83,29,51,66,57,11,15,25,75,55,24,28,59,49,24,21,75,73,35,42,29,65,19,74,Arts and Sports
chepkwemoi,24,41,80,19,68,72,13,62,82,23,11,66,90,64,30,88,88,32,63,32,28,33,30,93,47,86,64,STEM
sharon,38,61,60,43,44,46,74,56,25,91,52,62,69,20,80,57,20,83,41,91,52,22,22,37,35,79,28,STEM
chesekut,90,46,13,72,80,33,12,78,84,84,27,80,84,13,47,87,49,49,45,82,14,57,75,93,85,29,93,STEM
shantel,44,87,17,95,69,46,56,35,59,54,83,86,58,50,83,80,22,47,89,49,74,13,30,71,42,53,45,Social Science
chebet,82,23,78,70,56,86,40,31,16,89,57,65,94,76,75,47,14,40,93,30,43,35,43,15,52,43,54,Social Science
vivian,47,13,53,77,64,43,64,26,26,50,27,75,17,65,67,67,75,94,88,72,73,44,20,14,21,86,92,STEM
lumbasi,44,20,32,23,92,87,58,24,66,15,56,72,78,28,43,51,44,68,92,38,15,95,82,28,41,47,31,STEM
abiagel,86,60,51,10,62,61,49,14,31,61,11,42,22,89,43,58,78,19,17,21,80,71,93,34,74,47,39,Arts and Sports
cherop,55,76,59,35,66,20,30,72,30,64,83,90,62,43,17,50,60,83,51,76,67,31,40,51,81,68,16,STEM
vennillet,50,48,70,73,78,95,87,51,52,34,90,65,61,55,93,42,87,22,90,30,15,90,43,52,28,13,82,Social Science
chebet,75,70,49,86,25,51,22,52,48,92,68,11,59,90,75,77,36,29,47,45,28,82,26,91,89,47,87,STEM
magdaline,73,34,46,53,87,58,56,70,53,75,81,74,95,62,78,67,27,90,71,41,21,39,20,73,20,76,94,STEM
cheruto,87,57,37,68,27,38,69,63,65,62,46,29,73,72,29,51,17,62,69,60,73,37,58,16,51,63,65,Social Science
vivian,68,44,13,13,42,32,14,58,84,70,92,94,69,11,57,55,46,64,64,87,66,38,72,36,59,85,38,STEM
ekatuda,25,60,30,71,95,62,69,53,15,69,64,54,17,54,19,82,12,35,42,86,56,20,54,87,15,58,31,Social Science
trizah,45,28,57,85,21,95,73,79,32,27,92,59,19,77,23,58,39,67,81,85,28,17,93,49,66,37,46,Social Science
chebet,50,74,93,66,49,78,71,57,31,39,60,48,39,79,41,28,48,79,72,61,33,59,57,22,81,63,11,Arts and Sports
sharline,12,74,13,45,95,71,45,81,57,54,12,17,30,26,71,94,63,82,86,59,57,62,41,36,90,58,53,Social Science
chemtai,55,32,36,10,64,33,11,21,12,49,67,42,26,26,94,20,72,83,44,10,77,28,21,67,63,28,54,STEM
ruth,32,18,25,58,63,28,42,11,82,10,23,94,13,14,70,64,89,90,19,69,16,56,35,10,57,65,72,Social Science
nasambu,39,80,40,79,73,18,38,55,14,15,72,14,68,68,60,93,44,15,33,53,31,77,86,14,86,27,60,Arts and Sports
wamalwa,90,87,54,95,21,21,14,50,29,80,84,17,47,87,27,47,15,70,55,83,75,57,46,26,66,61,52,Social Science
joyline ,13,11,23,41,42,51,31,61,75,86,71,78,43,11,81,30,66,51,86,54,23,78,58,33,30,67,83,STEM
temko,16,16,21,39,13,41,89,91,17,31,70,23,60,94,83,52,72,65,26,75,78,92,88,78,66,31,42,Arts and Sports
ngeywo,23,18,32,63,10,43,13,22,87,56,86,73,69,59,82,18,47,48,38,17,61,64,15,89,66,22,87,Social Science
edrice ,14,68,63,31,27,17,24,28,41,87,58,53,60,66,61,10,92,18,15,92,91,51,45,51,41,43,13,STEM
namae,18,65,81,27,75,92,83,89,74,92,52,95,87,50,13,56,60,87,55,24,22,87,26,90,87,46,55,STEM
maala,20,73,28,95,45,83,93,27,89,10,42,35,91,63,51,31,12,87,43,36,83,26,42,54,12,62,41,Arts and Sports
violah,19,61,50,59,17,89,20,38,60,88,21,41,52,29,62,54,39,61,65,35,56,56,59,17,64,92,82,STEM
chemtai,50,94,83,79,38,80,91,46,80,49,44,13,52,25,31,13,31,73,53,79,95,40,66,20,28,50,70,STEM
mwotei,89,94,24,86,51,20,81,79,54,36,46,62,12,78,91,86,83,15,49,52,87,77,94,54,80,76,12,Social Science
viona,38,27,90,30,90,11,58,76,41,94,35,92,57,64,62,66,33,15,89,49,48,61,50,83,11,39,95,STEM
chebet,10,17,26,86,87,66,55,77,16,33,13,75,60,50,57,63,48,38,46,57,92,67,43,38,15,36,35,STEM
ruth,94,55,17,47,10,88,60,49,94,53,54,10,24,48,82,30,24,58,24,47,28,34,75,32,49,59,23,STEM
chepkwemoi,72,35,84,12,46,44,23,22,15,26,50,32,75,90,51,76,68,19,29,77,36,71,16,76,94,85,85,Social Science
ouma,47,31,77,89,49,91,27,84,66,65,85,69,46,48,54,74,36,95,19,65,72,14,28,36,69,90,80,STEM
sheila,73,64,76,94,12,27,65,73,76,48,35,50,44,26,51,17,13,35,46,31,52,89,88,81,71,21,91,Social Science
ivyn,91,56,93,66,60,73,75,88,53,81,42,80,28,70,64,63,51,47,76,51,17,58,54,26,37,17,94,Social Science
wangila,50,39,24,77,64,49,68,57,93,47,17,89,81,38,47,71,61,16,42,34,60,38,37,40,83,27,73,STEM
harriet,22,83,20,27,82,17,41,83,82,39,85,48,93,89,74,58,33,76,93,16,61,82,68,19,50,95,51,Social Science
kitty,71,72,14,69,53,16,79,19,38,81,44,49,37,12,27,11,81,81,84,17,53,67,13,90,68,82,31,Social Science
angela,91,79,26,60,70,82,23,12,56,63,63,38,68,41,35,19,88,75,52,60,60,95,35,70,48,15,30,Arts and Sports
anne,90,47,35,84,17,59,35,79,64,36,54,77,40,58,20,32,48,16,29,54,45,61,52,66,19,52,37,Social Science
wamukota,20,50,73,33,74,92,11,41,47,29,87,32,11,63,42,89,38,80,26,64,12,47,72,54,66,24,43,Arts and Sports
sylvia,75,11,91,76,17,21,22,57,65,30,34,78,81,17,27,71,31,18,33,39,49,67,73,59,83,94,64,STEM
chebet,82,44,18,44,18,44,56,69,50,80,51,45,11,19,33,26,86,19,93,56,40,21,50,33,43,30,49,STEM
harriet,87,49,22,22,30,80,80,40,27,73,80,35,84,16,21,50,81,39,35,32,18,66,11,68,34,30,24,STEM
chemtai,69,34,46,37,18,38,18,82,26,83,94,74,27,52,94,73,74,60,92,92,40,10,21,77,10,94,44,Social Science
valary,76,27,80,72,55,34,83,22,72,48,55,20,81,26,15,55,10,71,15,17,37,86,58,92,48,92,38,STEM
chepejuma,50,75,22,37,60,74,36,94,83,28,14,82,72,72,64,93,78,30,55,57,94,29,68,69,56,44,86,Social Science
naibei,10,47,89,26,92,67,76,17,60,74,70,52,15,89,62,18,11,92,31,88,44,65,66,37,13,78,26,Arts and Sports
jecinta,68,20,30,42,33,93,28,49,59,56,46,72,20,31,16,78,57,74,41,63,18,70,83,80,22,91,18,Arts and Sports
chepteek,10,48,26,45,12,71,86,19,15,92,48,28,57,49,19,17,50,34,81,20,40,51,87,52,19,67,62,STEM
kiprop,73,60,31,76,86,69,14,66,86,33,28,52,63,68,37,92,56,22,87,48,57,62,14,31,65,89,40,STEM
mitchelle,84,92,78,29,55,83,69,75,89,12,30,60,41,47,77,44,92,83,16,14,84,30,13,31,47,75,59,Arts and Sports
kapkarich,70,58,45,29,29,86,13,76,46,65,86,35,27,29,86,40,75,39,15,66,71,46,39,54,44,55,61,Social Science
dorine,86,27,60,72,37,20,52,81,82,11,27,56,29,84,10,36,80,14,60,90,81,65,67,20,70,86,29,Arts and Sports
itita,42,35,87,41,45,38,84,21,45,56,75,73,91,59,37,16,85,29,49,31,67,89,94,23,61,90,71,Arts and Sports
lucy,91,47,43,80,94,37,74,63,76,61,73,67,81,62,18,82,48,10,57,23,48,51,67,19,92,56,20,STEM
naliaka,71,63,10,12,42,61,90,87,13,14,22,93,32,24,63,95,78,77,92,15,46,73,16,82,12,64,70,STEM
elizabeth,79,38,29,70,19,68,14,62,50,73,86,30,95,87,31,11,23,27,45,77,39,44,77,32,37,60,33,STEM
tengui,44,37,45,77,51,42,69,25,59,14,25,78,18,83,36,66,57,90,67,63,83,61,66,14,36,18,37,Arts and Sports
mishel,73,59,42,50,33,54,90,28,45,23,90,40,29,68,12,42,23,65,41,39,59,88,51,60,32,22,24,Arts and Sports
aupat,35,93,61,33,77,64,26,59,53,82,45,18,50,94,70,29,68,71,15,87,86,78,50,44,32,82,26,Social Science
joylin ,82,81,87,48,10,30,46,23,80,17,87,45,39,78,66,32,28,41,14,54,40,77,19,54,50,12,62,Arts and Sports
nafula,15,73,39,57,68,15,38,40,78,76,28,57,12,93,80,32,35,25,57,71,75,58,88,38,11,49,49,Arts and Sports
mercyline,17,19,79,82,50,45,77,14,17,62,69,48,36,94,58,74,60,12,79,36,73,65,89,13,75,88,31,STEM
emily,72,13,15,38,85,64,27,28,80,68,44,46,51,92,24,63,82,49,89,23,49,26,80,66,85,16,65,STEM
iyeneni,12,72,21,21,47,25,65,53,31,43,65,80,56,25,11,26,42,94,25,71,91,83,63,91,25,89,51,STEM
portia,88,62,84,18,37,57,31,38,20,26,53,74,85,59,76,40,37,87,90,35,39,21,36,91,15,25,94,Social Science
nakhumicha,37,44,71,18,61,44,39,90,16,53,71,39,62,61,23,20,92,28,59,48,41,12,72,35,51,40,41,STEM
maende,30,58,31,51,68,84,40,48,59,64,76,60,78,42,38,74,29,93,81,21,22,50,88,67,15,29,51,Arts and Sports
annah,27,54,55,16,89,48,72,34,65,28,24,63,63,28,81,21,66,90,38,55,92,61,84,39,27,71,59,STEM
nekesa,94,18,31,36,68,27,43,17,54,59,70,47,72,67,14,11,51,79,91,33,50,15,43,41,35,25,54,STEM
sharon,76,57,34,41,84,25,12,56,47,80,22,46,26,88,94,22,21,79,64,85,82,49,78,59,56,69,21,Social Science
cherotich,48,27,81,33,40,19,47,92,15,26,12,24,10,70,65,61,71,61,25,37,91,37,90,80,64,56,10,Social Science
quinter,35,28,93,75,48,57,49,73,84,50,16,56,42,18,14,42,49,29,23,59,27,34,73,67,15,68,91,Social Science
chebosis,61,16,93,33,79,95,67,11,84,49,51,91,91,81,64,36,22,27,79,25,80,47,12,41,43,72,17,Social Science
miracle,28,18,48,72,53,94,33,15,50,69,38,95,11,13,82,80,67,63,43,66,67,43,36,57,39,44,69,Social Science
chebet,76,91,70,61,95,51,48,52,74,14,22,86,30,53,12,41,34,49,66,77,16,40,35,78,95,85,31,Social Science
melvine,20,76,50,34,81,43,62,86,15,86,81,15,85,50,65,38,80,52,29,50,81,12,74,82,52,10,33,STEM
chepkwemoi,22,75,23,92,22,41,20,89,64,11,15,16,82,56,28,71,59,57,35,93,51,86,25,20,95,81,34,Social Science
annex,50,18,87,95,92,93,86,91,82,58,30,64,87,58,83,63,51,79,20,15,74,44,18,85,10,87,20,STEM
chebet,23,21,15,57,66,81,29,31,44,49,60,37,50,20,77,86,92,27,16,56,75,94,39,53,29,84,44,STEM
robai,84,81,49,79,26,80,20,51,20,31,64,35,60,22,36,18,68,34,91,16,60,43,75,60,69,21,65,Arts and Sports
chebet,69,28,32,63,36,44,59,57,33,34,36,94,48,65,94,31,24,63,39,88,44,55,75,83,40,23,23,Arts and Sports
lexine ,46,50,73,59,60,16,84,13,10,30,63,67,13,42,18,80,63,49,34,13,54,30,73,25,29,70,51,STEM
chebet,23,72,10,82,40,89,44,59,60,49,74,72,50,56,40,90,71,60,32,47,19,52,89,87,23,36,37,STEM
ndiema,36,43,48,30,42,13,77,57,31,12,24,16,17,37,74,68,59,53,53,29,64,24,44,28,45,27,21,Social Science
christabel,92,63,94,56,19,76,33,83,53,33,66,50,74,47,75,67,92,95,56,48,88,89,47,35,46,79,62,STEM
chebet,72,33,44,57,73,39,24,88,21,83,14,44,84,48,79,45,45,66,89,79,71,34,75,53,56,21,17,STEM
lavine,47,14,87,36,52,33,23,94,37,25,73,31,77,25,81,50,81,85,80,65,31,46,50,46,53,88,13,Social Science
bahati,18,44,24,86,94,69,14,42,23,52,71,26,64,31,94,45,35,32,43,16,35,81,25,13,80,78,29,STEM
witney,32,45,78,92,63,77,46,70,87,41,56,43,80,26,21,57,23,16,53,22,81,73,66,48,31,65,46,Arts and Sports
chepchumba,52,26,20,31,58,75,79,85,91,57,36,33,22,29,71,66,71,74,53,20,12,69,81,17,82,17,59,Social Science
naomi,51,57,77,45,58,50,93,76,24,17,41,90,73,78,72,39,92,20,47,53,62,62,32,80,64,61,77,Arts and Sports
saliuamu,70,65,27,85,43,95,57,52,50,60,84,10,23,16,87,12,82,27,43,58,50,94,83,92,29,67,42,STEM
chebet,22,81,36,50,69,27,22,61,82,79,36,42,67,43,17,29,82,81,26,32,95,68,26,31,38,45,90,STEM
faith,33,83,51,35,84,67,61,89,93,93,50,94,66,46,29,48,10,75,70,42,85,19,57,73,82,22,69,STEM
kiboi,23,14,45,29,55,93,16,61,24,77,58,92,47,51,95,12,70,17,64,46,28,90,44,81,65,22,44,Arts and Sports
chepteek,62,41,44,47,74,13,30,56,79,39,22,69,57,37,72,79,39,64,71,43,65,14,53,84,73,31,62,Arts and Sports
christabel,55,73,81,19,58,50,54,27,55,39,48,67,17,40,32,72,67,33,24,20,29,20,55,40,24,24,89,STEM
situma,52,18,28,63,86,49,19,92,53,56,90,20,26,35,41,60,15,16,39,53,12,28,13,22,11,18,66,STEM
hodai,35,66,26,80,84,78,69,46,72,93,37,23,55,36,69,83,33,60,82,19,75,32,61,61,30,43,84,Social Science
cherop,53,86,61,25,56,76,66,69,23,51,16,13,11,43,69,62,10,82,49,57,73,49,10,35,31,86,10,Arts and Sports
dorine,30,87,85,65,62,13,93,21,95,52,76,80,75,87,85,18,57,26,92,62,81,62,64,40,93,10,72,STEM
akech,90,37,56,16,23,84,17,17,39,13,92,37,79,27,95,47,47,42,59,36,80,10,64,67,30,33,63,Arts and Sports
mercyline,46,77,43,27,49,18,72,54,21,69,46,40,34,53,45,18,72,20,44,49,88,89,18,52,18,19,77,Social Science
chepkwemoi,79,55,82,88,47,33,49,33,18,47,24,55,15,50,59,23,67,43,30,59,90,59,56,14,55,29,11,Arts and Sports
shhe,66,78,62,56,61,53,61,32,46,42,75,71,10,43,85,45,90,59,34,87,49,48,63,70,10,47,67,Arts and Sports
elizabeth,31,82,84,95,94,76,35,84,45,55,83,36,30,19,30,46,83,79,24,77,18,23,63,50,23,13,68,STEM
temko,14,34,69,62,58,62,60,50,15,92,74,71,62,46,55,19,44,77,16,12,14,73,82,93,73,49,68,Arts and Sports
esline,72,15,50,32,59,41,21,43,77,90,15,34,55,75,80,16,38,25,51,35,14,55,67,58,57,62,34,STEM
cheluket,39,65,20,79,37,43,91,36,55,77,13,20,93,61,81,58,67,85,65,18,72,23,87,27,57,92,53,STEM
kanai,93,33,17,63,84,31,10,14,18,13,89,52,62,67,83,82,71,64,18,16,72,46,87,38,44,86,52,STEM
luiza ,25,35,18,57,77,82,65,40,13,31,40,10,59,20,85,54,36,78,37,16,45,48,41,15,41,52,35,STEM
chepkwemoi,21,13,73,16,12,86,29,58,32,66,43,74,53,23,59,87,91,81,36,44,51,45,88,49,36,18,19,STEM
korono,29,78,16,82,37,51,93,18,78,21,94,15,80,75,65,60,37,51,43,24,32,52,12,74,82,25,95,Arts and Sports
linda,77,29,66,38,47,67,13,26,38,92,42,38,40,10,13,36,34,75,52,34,14,56,40,70,72,86,10,STEM
chebet,38,95,29,89,34,43,77,84,39,82,93,82,83,39,24,70,53,72,55,75,60,71,39,19,18,79,51,STEM
ivon,34,88,68,24,41,83,68,73,64,51,26,33,71,77,87,91,44,84,82,34,19,16,46,45,71,72,94,Arts and Sports
tamnai,48,69,28,50,84,24,67,93,77,67,55,74,50,31,43,52,39,38,40,62,43,81,34,56,60,50,70,STEM
salome,95,87,70,19,71,13,35,45,81,63,47,56,31,20,49,32,84,33,38,23,80,48,29,60,90,46,32,Social Science
chemtai,41,48,84,39,10,14,81,16,61,10,73,66,62,38,12,12,23,85,10,83,64,92,11,77,16,41,22,STEM
mirriam,39,71,40,43,41,72,64,34,60,28,37,16,62,87,87,21,30,72,18,41,72,52,72,69,39,54,81,Social Science
cheruto,73,43,93,14,21,39,49,67,37,58,73,51,37,70,37,40,83,30,85,55,74,21,56,29,36,70,77,STEM
sarah,20,49,48,63,85,60,35,33,45,36,16,90,10,46,24,13,40,22,70,25,25,94,43,42,27,77,20,STEM
cherono,67,88,65,57,36,37,72,29,69,80,16,52,61,10,86,21,50,89,20,61,42,60,27,15,70,76,29,Arts and Sports
abigael,34,61,32,25,15,68,12,52,45,87,86,54,48,61,21,20,50,76,52,74,50,43,95,35,59,21,56,Social Science
chelimo,39,22,24,63,86,47,68,71,55,86,73,65,73,63,38,74,12,43,44,73,15,78,23,36,79,53,32,Social Science
sarah,75,63,17,33,50,48,65,85,33,10,85,83,77,35,32,84,47,23,26,38,40,27,72,10,34,39,88,STEM
barkacha,73,51,68,93,62,72,73,49,70,56,28,55,30,76,55,12,85,66,50,22,12,27,93,15,66,54,69,STEM
siliviah,88,88,94,83,52,45,38,88,33,25,19,42,39,69,89,44,30,95,48,70,69,89,81,25,81,27,15,Arts and Sports
dorcus,43,94,58,35,62,24,46,92,38,92,52,76,16,26,61,73,40,29,85,78,30,59,13,81,93,54,18,STEM
mirriet,95,54,35,48,86,14,40,36,37,72,18,50,22,80,31,32,85,36,72,13,77,49,78,15,44,36,72,Arts and Sports
nanguni,33,65,53,75,90,74,23,53,14,10,30,77,26,86,56,88,77,33,49,72,22,92,21,42,20,92,54,Arts and Sports
abigael,67,38,55,50,83,87,78,70,37,43,88,78,21,53,17,48,15,43,92,49,47,80,13,85,76,37,88,Social Science
ndurwa,62,47,37,19,40,63,11,27,13,59,92,67,79,24,83,82,54,25,88,63,34,60,14,50,38,11,20,Social Science
nyila,33,29,33,90,67,59,22,31,93,85,40,45,31,77,24,21,58,93,64,56,75,83,87,15,45,12,35,STEM
ngasi,29,90,78,77,46,69,12,40,51,62,55,94,66,86,28,59,81,22,45,87,15,46,59,29,45,10,75,Social Science
momanyi,52,43,94,39,62,74,62,18,24,24,95,42,68,58,21,79,62,56,42,66,79,14,43,51,16,79,71,STEM
charity,18,36,54,83,57,87,67,74,40,43,14,71,51,12,54,64,48,45,11,76,64,76,78,37,12,15,61,STEM
chematui,94,84,26,34,64,37,79,77,45,33,17,60,59,86,46,80,86,68,74,42,58,32,46,27,13,40,48,Arts and Sports
monoo,90,34,67,60,57,46,27,88,90,22,60,43,50,10,59,52,28,32,81,79,43,81,89,83,15,84,66,Arts and Sports
nancy,55,57,41,54,55,26,66,51,76,15,64,41,84,14,54,70,85,56,18,74,37,57,20,91,19,55,29,Arts and Sports
kitrui,68,82,76,88,19,71,46,39,15,33,78,89,12,46,50,21,78,65,87,86,79,31,74,90,60,12,93,STEM
hope,64,10,13,94,87,75,89,41,52,20,55,34,61,86,73,24,76,70,10,21,72,67,73,17,22,34,52,STEM
rehema,17,27,14,31,39,93,37,51,33,28,82,13,71,86,11,51,31,14,35,34,76,78,60,51,49,62,30,STEM
nafula,58,90,95,86,12,50,20,78,73,48,92,67,49,75,24,48,63,70,15,45,35,44,13,86,86,78,13,STEM
abigael ,83,23,50,83,34,34,78,47,43,42,15,94,25,50,75,11,16,27,50,16,14,17,67,83,34,28,91,Arts and Sports
namboko,95,87,92,91,78,81,84,17,17,65,85,78,60,41,48,30,60,12,83,16,62,53,79,91,18,49,81,STEM
meave,44,86,42,33,91,36,59,19,32,49,34,74,44,32,90,62,10,58,70,33,74,64,49,94,90,89,11,STEM
chebet,90,37,42,53,84,13,49,70,39,10,55,89,21,60,74,10,60,19,12,36,83,28,19,48,48,33,68,Arts and Sports
dorine,23,55,83,47,30,54,65,85,18,70,67,92,54,68,85,11,73,59,92,24,49,26,76,93,33,51,38,Social Science
cherop,69,58,77,34,25,10,14,93,84,82,36,69,81,15,47,36,54,27,84,18,27,69,56,86,72,88,61,STEM
chalicha,83,55,44,86,26,13,79,45,27,84,56,24,82,77,29,95,21,61,37,33,15,40,28,14,21,94,84,Arts and Sports
sheila,14,43,63,46,55,60,42,42,35,75,58,61,43,69,37,17,70,38,33,65,60,91,23,56,73,30,27,STEM
nyongesa,20,94,40,39,49,51,61,20,92,81,78,10,69,36,27,73,63,78,70,28,30,82,16,72,42,11,95,Arts and Sports
namalwa,59,84,28,37,13,89,62,86,22,58,79,61,47,70,40,57,67,42,60,75,18,92,85,27,68,31,90,STEM
rodah,35,73,27,75,52,51,35,76,11,91,74,46,56,82,10,77,49,69,31,24,19,33,83,15,77,68,67,STEM
ruth,77,67,62,90,69,73,54,66,35,85,21,93,80,90,43,17,27,59,32,88,84,91,75,21,74,66,49,STEM
chebet,57,28,57,56,51,28,25,43,19,29,84,46,63,52,23,80,61,71,83,38,19,75,69,11,78,13,42,STEM
yvonne,22,18,65,29,25,26,18,41,51,75,66,30,73,76,92,41,29,50,84,58,91,11,14,52,27,36,66,Social Science
cherotich,43,93,24,51,49,41,57,31,40,85,48,52,68,41,71,35,22,49,89,68,74,29,10,32,30,53,21,STEM
euventor,42,42,77,43,81,64,25,61,58,71,57,14,16,91,81,55,22,39,28,59,67,64,58,54,26,67,35,Arts and Sports
chemotos,20,48,79,94,84,31,65,73,94,77,70,75,51,49,76,34,45,69,15,89,23,10,46,53,35,57,36,Arts and Sports
vivian,48,59,72,60,82,90,66,70,91,21,42,24,34,34,14,88,95,69,71,49,36,12,33,76,49,39,66,STEM
luzina,22,82,47,57,14,20,45,24,34,52,67,80,51,44,81,23,53,36,61,58,64,77,54,46,43,80,27,Social Science
otwane,51,73,39,46,75,78,44,63,91,51,18,52,26,50,86,29,17,65,43,91,88,40,81,84,51,35,32,Arts and Sports
scovia,19,33,66,53,13,34,60,94,39,64,95,57,46,70,68,55,92,56,21,87,49,66,27,32,93,41,76,Social Science
